DNA,Wins,Ties,Losses,Points
1,124,0,78,248
2,124,0,78,248
3,124,0,78,248
4,125,0,77,250
5,124,0,78,248
6,124,0,78,248
7,125,0,77,250
8,124,0,78,248
9,124,0,78,248
10,124,0,78,248
11,125,0,77,250
12,124,0,78,248
13,124,0,78,248
14,124,0,78,248
15,124,0,78,248
16,125,0,77,250
17,124,0,78,248
18,123,0,79,246
19,124,0,78,248
20,124,0,78,248
21,125,0,77,250
22,124,0,78,248
23,123,0,79,246
24,124,0,78,248
25,124,0,78,248
26,124,0,78,248
27,124,0,78,248
28,124,0,78,248
29,125,0,77,250
30,124,0,78,248
31,125,0,77,250
32,124,0,78,248
33,124,0,78,248
34,124,0,78,248
35,124,0,78,248
36,124,0,78,248
37,124,0,78,248
38,124,0,78,248
39,125,0,77,250
40,124,0,78,248
41,125,0,77,250
42,124,0,78,248
43,124,0,78,248
44,124,0,78,248
45,124,0,78,248
46,30,0,172,60
47,125,0,77,250
48,124,0,78,248
49,124,0,78,248
50,125,0,77,250
51,124,0,78,248
52,124,0,78,248
53,124,0,78,248
54,124,0,78,248
55,124,0,78,248
56,124,0,78,248
57,124,0,78,248
58,124,0,78,248
59,124,0,78,248
60,125,0,77,250
61,125,0,77,250
62,124,0,78,248
63,124,0,78,248
64,124,0,78,248
65,124,0,78,248
66,124,0,78,248
67,122,0,80,244
68,124,0,78,248
69,124,0,78,248
70,124,0,78,248
71,28,0,174,56
72,124,0,78,248
73,10,0,192,20
74,11,0,191,22
75,124,0,78,248
76,124,0,78,248
77,123,0,79,246
78,125,0,77,250
79,124,0,78,248
80,124,0,78,248
81,6,0,196,12
82,26,0,176,52
83,2,0,200,4
84,47,0,155,94
85,14,0,188,28
86,25,0,177,50
87,27,0,175,54
88,40,0,162,80
89,21,0,181,42
90,17,0,185,34
91,40,0,162,80
92,31,0,171,62
93,20,0,182,40
94,19,0,183,38
95,44,0,158,88
96,29,0,173,58
97,9,0,193,18
98,22,0,180,44
99,110,0,92,220
100,39,0,163,78
